onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	scenes	1	1	1	0.528	6
36	16	3	2	0	faces	-1	-1	1	0.448	-1
52	16	3	3	0	faces	1	1	1	0.384	5
68	16	3	4	0	scenes	-1	-1	1	0.48	-1
84	16	3	5	0	scenes	-1	-1	1	0.552	-1
100	16	3	6	0	scenes	1	1	1	0.487	3
116	16	3	7	0	faces	1	1	1	0.398	5
132	16	3	8	0	faces	-1	-1	1	0.391	-1
148	16	3	9	0	scenes	1	1	1	0.485	6
164	16	3	10	0	scenes	1	-1	0	0.502	4
180	16	3	11	0	scenes	-1	-1	1	0.525	-1
196	16	3	12	0	faces	-1	-1	1	0.445	-1
212	16	3	13	0	faces	1	1	1	0.268	3
228	16	3	14	0	scenes	1	1	1	0.444	5
244	16	3	15	0	scenes	-1	-1	1	0.379	-1
260	16	3	16	0	faces	1	1	1	0.483	5
276	16	3	17	0	faces	1	1	1	0.308	4
292	16	3	18	0	faces	-1	-1	1	0.379	-1
308	16	3	19	0	scenes	-1	-1	1	0.474	-1
324	16	3	20	0	faces	-1	1	0	0.459	-1
