onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	6	1	0	stay	scene	bottom	1	1	1	0.47	6
40	28	6	2	0	switch	scene	bottom	-1	-1	1	0.311	-1
68	28	6	3	0	switch	scene	top	1	1	1	0.39	4
96	28	6	4	0	switch	scene	top	1	1	1	0.439	6
124	20	6	5	0	stay	scene	bottom	-1	-1	1	0.493	-1
144	20	6	6	0	stay	scene	top	1	-1	0	0.453	3
164	20	6	7	0	stay	scene	bottom	1	1	1	0.43	6
184	20	6	8	0	stay	scene	bottom	-1	-1	1	0.406	-1
204	20	6	9	0	stay	scene	bottom	1	1	1	0.429	4
224	28	6	10	0	switch	scene	bottom	-1	-1	1	0.412	-1
252	28	6	11	0	switch	scene	top	1	1	1	0.325	4
280	28	6	12	0	switch	scene	bottom	-1	-1	1	0.387	-1
308	20	6	13	0	stay	scene	top	-1	-1	1	0.38	-1
328	20	6	14	0	stay	scene	top	-1	-1	1	0.484	-1
348	20	6	15	0	stay	scene	bottom	-1	-1	1	0.437	-1
368	20	6	16	0	stay	scene	top	1	1	1	0.396	4
388	20	6	17	0	stay	scene	top	-1	-1	1	0.34	-1
408	20	6	18	0	stay	scene	top	1	-1	0	0.426	6
